Variable,Sites,Heritability,SE
Ring_density,Asselin,0.58,0.1
Ring_width,Asselin,0.31,0.08
b0,Asselin,0.2,0.06
b1,Asselin,0.1,0.04
b2,Asselin,0.1,0.04
Index_V,Asselin,0.000006,0.0000004
index_V_lw,Asselin,0.13,0.05
ew_width,Asselin,0.04,0.03
ew_percentage,Asselin,0.072,0.04
ew_avg_density,Asselin,0.28,0.07
lw_width,Asselin,0.17,0.052
lw_percentage,Asselin,0.08,0.04
lw_avg_density,Asselin,0.27,0.07
Ring_density,St-Casimir,0.71,0.1
Ring_width,St-Casimir,0.43,0.09
b0,St-Casimir,0.3,0.07
b1,St-Casimir,0.06,0.03
b2,St-Casimir,0.03,0.02
Index_V,St-Casimir,0.000003,0
index_V_lw,St-Casimir,0.08,0.03
ew_width,St-Casimir,0.0000007,0.000000008
ew_percentage,St-Casimir,0.3,0.07
ew_avg_density,St-Casimir,0.3,0.07
lw_width,St-Casimir,0.3,0.03
lw_percentage,St-Casimir,0.03,0.07
lw_avg_density,St-Casimir,0.3,0.07
