Variable,Site,Heritability,SE
Ring_density,Asselin,0.58,0.1
Ring_width,Asselin,0.32,0.07
b0,Asselin,0.2,0.06
b1,Asselin,0.1,0.04
b2,Asselin,0.1,0.04
Index_V,Asselin,0.000006,0.0000004
Ring_density,St-Casimir,0.70,0.1
Ring_width,St-Casimir,0.43,0.09
b0,St-Casimir,0.3,0.07
b1,St-Casimir,0.06,0.03
b2,St-Casimir,0.03,0.02
Index_V,St-Casimir,0.000003,0
Ring_density,Combined,0.55,0.1
Ring_width,Combined,0.23,0.08
b0,Combined,0.20,0.06
b1,Combined,0.06,0.03
b2,Combined,0.04,0.03
Index_V,Combined,0.000006,0.00000001
