Site,Paremeter,Mean,sd
Asselin ,b0,302.78,55.9
Asselin ,b1,0.97,0.16
Asselin ,b2,17.02,2.2
Saint-Casimir,b0,304.40,41.9
Saint-Casimir,b1,1.09,0.15
Saint-Casimir,b2,14.87,2.0
Asselin ,b0_lw_density,568.02,70.30
Asselin ,b1_lw_density,-0.04,0.19
Asselin ,b2_lw_density,-299.10,30.31
Saint-Casimir,b0_lw_density,443.3,53
Saint-Casimir,b1_lw_density,0.1,0.1
Saint-Casimir,b2_lw_density,-268.4,200
Asselin ,b0_lw_percentage,66.83,363.18
Asselin ,b1_lw_percentage,-104.60,33.04
Asselin ,b2_lw_percentage,79.69,20.77
Saint-Casimir,b0_lw_percentage,85.8,30.8
Saint-Casimir,b1_lw_percentage,-133.4,21.8
Saint-Casimir,b2_lw_percentage,18.3,2.46
